epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,52.8393,1.70623,4.22042,1.14379,0.00195,0.09961,0.01063,0.0042,1.7981,4.39478,1.14428,0.00026664,0.00026664,0.00026664
2,106.092,1.65654,3.05582,1.08886,0.9958,0.02591,0.06257,0.03806,1.98015,4.07848,1.16121,0.000490495,0.000490495,0.000490495
3,161.238,1.58615,2.57088,1.03515,0.00993,0.3135,0.06333,0.02529,2.02073,3.67721,1.13173,0.000659356,0.000659356,0.000659356
4,216.895,1.55679,2.44804,1.02222,0.7963,0.08021,0.12411,0.05443,1.98684,3.34568,1.14126,0.000773223,0.000773223,0.000773223
5,275.29,1.56736,2.26411,1.04396,0.82241,0.18063,0.16879,0.07947,2.0252,2.76939,1.18555,0.000671044,0.000671044,0.000671044
6,334.642,1.49952,1.90759,1.04429,0.79559,0.16716,0.15396,0.07392,1.97226,2.78156,1.1966,0.000561055,0.000561055,0.000561055
7,393.522,1.46335,1.87699,1.06896,0.7799,0.17365,0.15113,0.06973,1.98496,2.76743,1.20432,0.000451066,0.000451066,0.000451066
8,450.801,1.46315,1.83301,1.05072,0.81468,0.16881,0.17327,0.08019,1.98353,2.5981,1.19892,0.000341077,0.000341077,0.000341077
9,507.907,1.39614,1.82948,1.02459,0.81402,0.17707,0.18021,0.08324,1.98428,2.56412,1.19425,0.000231088,0.000231088,0.000231088
10,564.443,1.40755,1.7854,1.02262,0.81322,0.18089,0.18435,0.08681,1.97112,2.5253,1.18361,0.000121099,0.000121099,0.000121099
