epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,40.2448,1.70224,4.22366,1.14271,0.00121,0.0728,0.00454,0.00155,1.79352,4.40584,1.1493,0.00026664,0.00026664,0.00026664
2,82.2394,1.65911,3.03799,1.08262,0.93918,0.0484,0.05724,0.03535,1.95988,4.12485,1.16642,0.000490495,0.000490495,0.000490495
3,118.77,1.60834,2.63561,1.04442,0.00894,0.2846,0.07649,0.0347,1.93663,3.69675,1.12502,0.000659356,0.000659356,0.000659356
4,155.245,1.53499,2.3356,1.02906,0.9241,0.04299,0.14605,0.06895,1.92152,3.36004,1.13871,0.000773223,0.000773223,0.000773223
5,194.614,1.54561,2.22156,1.05284,0.81922,0.18855,0.17591,0.08738,1.97634,2.73069,1.1887,0.000671044,0.000671044,0.000671044
6,231.671,1.47103,1.96072,1.04228,0.77742,0.16873,0.14556,0.06786,1.97544,2.72915,1.23085,0.000561055,0.000561055,0.000561055
7,272.24,1.50161,1.90135,1.09775,0.75941,0.16332,0.13711,0.06143,1.98816,2.71862,1.22849,0.000451066,0.000451066,0.000451066
8,309.968,1.44744,1.81498,1.06146,0.79475,0.17418,0.16704,0.08047,1.94522,2.55562,1.19261,0.000341077,0.000341077,0.000341077
9,346.103,1.37495,1.82658,1.03874,0.80911,0.17812,0.17599,0.08662,1.93162,2.53385,1.1836,0.000231088,0.000231088,0.000231088
10,381.472,1.37674,1.78887,1.02758,0.81272,0.18149,0.1814,0.09059,1.91161,2.50498,1.17357,0.000121099,0.000121099,0.000121099
